trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
01-01-2019 00:00,"""Heller, Gutmann and Zieme""",grocery_pos,107.23,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,21-06-1978,1f76529f8574734946361c461b024d99,49.159047,-118.186462,0
01-01-2019 00:00,Lind-Buckridge,entertainment,220.11,Malad City,ID,42.1808,-112.262,4154,Nature conservation officer,19-01-1962,a1a22d70485983eac12b5b88dad1cf95,43.150704,-112.154481,0
01-01-2019 00:07,Kiehn Inc,grocery_pos,96.29,Grenada,CA,41.6125,-122.5258,589,Systems analyst,21-12-1945,413636e759663f264aae1819a4d4f231,41.65752,-122.230347,0
01-01-2019 00:09,Beier-Hyatt,shopping_pos,7.77,High Rolls Mountain Park,NM,32.9396,-105.8189,899,Naval architect,30-08-1967,8a6293af5ed278dea14448ded2685fea,32.863258,-106.520205,0
01-01-2019 00:21,Bruen-Yost,misc_pos,6.85,Freedom,WY,43.0172,-111.0292,471,"""Education officer, museum""",02-08-1967,f3c43d336e92a44fc2fb67058d5949e3,43.753735,-111.454923,1
01-01-2019 00:22,Kunze Inc,grocery_pos,90.22,Honokaa,HI,20.0827,-155.488,4878,Physiotherapist,03-12-1966,95826e3caa9e0b905294c6dae985aec1,19.560013,-156.045889,0
01-01-2019 00:22,"""Nitzsche, Kessler and Wol""",shopping_pos,4.02,Valentine,NE,42.8062,-100.6215,4005,Network engineer,15-03-1945,20490f3f0966ce74b4aaba8dc2c4ed52,42.47559,-101.265846,0
01-01-2019 00:22,"""Kihn, Abernathy and Douglas""",shopping_net,3.66,Westfir,OR,43.7575,-122.481,597,Forensic psychologist,19-05-1961,870c92b288a974a2faf1f24b05c27e33,44.278191,-121.815161,1
01-01-2019 00:31,Ledner-Pfannerstill,gas_transport,102.13,Thompson,UT,38.9999,-109.615,46,"""Surveyor, minerals""",23-04-1987,47238da5b40d126c8abea40a857c7809,39.807313,-109.348294,0
01-01-2019 00:34,Stracke-Lemke,grocery_pos,83.07,Conway,WA,48.34,-122.3456,85,"""Research officer, political party""",01-09-1984,9b7a0619dcc5c572dc134f2827ed5a6b,48.682111,-122.719904,0
